"ConflictType","MAC","Vendor","IPCount","IPs","ImpactLevel","Timestamp"
"MAC_CONFLICT","48-4d-7e-da-07-ba","Unknown","2","192.168.2.20; 192.168.2.21","LOW","04.07.2025 16:11:16"
"MAC_CONFLICT","68-5b-35-bd-7a-b1","Unknown","2","192.168.0.11; 192.168.1.237","LOW","04.07.2025 16:11:16"
